年,伝票日付,品名,区分,品番,数量,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,類別型式,車種,年式,車台No,型式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/12/21,"ﾐﾗ-,ｱｳﾄﾘﾔﾋﾞﾕ-,ﾚﾌﾄ(ﾌﾞ",売上,84702-82K40-ZJ3,1,00976,6205,240,16033-0008,パレット,,364436,DBA-MK21S-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/11/22,ﾏﾙﾁﾜｺﾞﾝ,売上,S-WD3,1,08000,8000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/11/20,ﾘｱｻｲｸﾙｷｬﾘｱ(2台積み),売上,EC16BK,1,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/6/28,ｸﾗｯﾁｶﾊﾞｰASSY,売上,NSC593,1,00090,90,100,06721-0034,シルビア,平成 5年 7月,097998,E-PS13-HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/7/28,ﾃﾞｨｽｸﾊﾟｯﾄﾞ ATE,売上,13046027592,1,05427,5425,20,,Ｚ４,,WBALL32030J081439,DBA-LL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/7/27,ﾃﾞｨｽｸﾊﾟｯﾄﾞ ATE,売上,13046029732,1,05427,5425,20,,,,,WV2ZZZ70ZPH111738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/11/2,ﾗｼﾞｴ-ﾀｸﾞﾘﾙ,売上,53101-13280,1,01301,1301,3000,17281-0001,カローラフィールダー,平成24年11月,7002912,DBA-ZRE162G-AWXSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/13,ﾍｯﾄﾞﾗﾝﾌﾟﾕﾆｯﾄ RH,売上,35120-64L02,1,01310,6301,270,16403-0003,アルト,,778417,DBA-HA25S-AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/2/13,ﾍｯﾄﾞﾗﾝﾌﾟﾕﾆｯﾄ RH,売上,35120-85P00,1,01310,6301,270,,ワゴンＲ,,365145,DBA-MH34S-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/1/15,R/ﾄﾞｱﾌﾟﾛﾃｸﾀﾓ-ﾙ LH,売上,76906-28120-C1,1,03240,6250,3000,15738-0105,ヴォクシー,平成19年11月,0055945,DBA-ZRR70W-BRXTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/4/20,F/ﾄﾞｱﾊﾟﾜ-ｳｲﾝﾄﾞｽｲｯﾁRH,売上,25401-JD06A,1,02135,2135,3000,16008-0015,デュアリス,平成21年 2月,208094,DBA-KJ10-FDRARHZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/8,MST2000本体保障延長2年分,売上,MST-PS-2,1,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/12/26,ｺﾝﾃﾞﾝｻｰ 社外品,売上,,1,09901,9901,9901,17814-0010,ワゴンＲ,,128148,DAA-MH44S-WFZBAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/12/17,Fﾄﾞｱ RH 中古,売上,,1,09902,9902,9902,12412-0252,デミオ,,501011,DBA-DY3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
